Freq(MHz);Theta;Phi;Data(dB)
5650;180;90;-44,35
5650;180;105;-38,66
5650;180;120;-33,22
5650;180;135;-34,48
5650;180;150;-29,68
5650;180;165;-32,63
5650;180;180;-30,99
5650;180;195;-34,38
5650;180;210;-32,77
5650;180;225;-38,26
5650;180;240;-42,25
5650;180;255;-67,11
5650;180;270;-44,65
5650;180;285;-39,46
5650;180;300;-34,92
5650;180;315;-34,38
5650;180;330;-32,68
5650;180;345;-32,33
